national_rank,shrid2,economic_growth_score,score_ntl,score_infra,score_housing,score_market,ntl_2019,ntl_2023,ntl_growth_ratio_capped,pc11_vd_t_p,pmay_density,pc11_state_id,pc11_district_id
89,11-09-180-00919-171295,83.59039996033576,99.99999990192914,99.999999999,32.95199999967048,79.9999999992,2.028961114435325,6.256841719654608,0.6363421259798077,10853.0,3.7199999999999998,9,180
90,11-32-588-05631-627136,83.57625288807186,92.06563222134837,94.99999999905,39.9999999996,99.999999999,1.0709235504271497,2.609005833340871,0.5554376745866725,16618.0,0.0,32,588
91,11-28-544-04861-586055,83.50581391382497,99.99999990192914,74.99999999925,56.27906976687906,89.9999999991,1.4598663847133926,4.051229320133814,0.6363421259798077,1580.0,32.093023255813954,28,544
92,11-32-597-05672-628201,83.47006651504502,97.40692920665836,94.99999999905,40.036474163733374,84.99999999915,0.0168973199383802,0.8713451104862932,0.6099013344170523,6447.0,0.060790273556231005,32,597
93,11-32-599-05681-628319,83.46075061552995,88.65441912837979,99.999999999,39.994914822890166,99.999999999,0.3283258367240608,1.2357436491852216,0.5206545217278549,13361.0,0.2288329519450801,32,599
94,11-27-509-04074-541525,83.43720543192673,86.97663427068815,74.99999999925,74.48275861994482,99.999999999,0.5668128856467289,1.5924157991551198,0.5035466350087314,856.0,93.59605911330048,27,509
95,11-32-599-05680-628309,83.43713189811331,91.72274133780756,94.99999999905,39.9901768168889,99.999999999,0.0560625165318683,0.8339804247641955,0.5519413154642596,8101.0,0.04911591355599214,32,599
96,11-28-554-05378-595864,83.38536581399634,99.99999990192914,74.99999999925,66.92682926762342,74.99999999925,3.137073833853411,7.846187923893422,0.6363421259798077,856.0,44.87804878048781,28,554
97,11-08-101-00479-069835,83.31575604406933,87.34821364079447,99.999999999,41.88235294075764,99.999999999,1.243927337542588,2.726849090088103,0.5073355223275073,5594.0,32.51336898395722,8,101
98,11-32-588-05630-627102,83.29769073207316,91.36568324524252,94.99999999905,40.00708717181821,99.999999999,0.78168970855121,2.082875255099892,0.5483004974107737,14299.0,0.03543586109142452,32,588
99,11-32-599-05683-628345,83.29276660172782,87.89782817030203,99.999999999,40.66817667003499,99.999999999,0.470372094357586,1.4558066382334929,0.5129397826514064,24069.0,1.2646281615704038,32,599
100,11-09-187-00945-184104,83.19999996033967,99.99999990192914,99.999999999,39.9999999996,67.99999999932,1.4013179177745556,4.03723350065712,0.6363421259798077,3530.0,0.0,9,187
